id,name,city,province,description,category,metadata,ratings,budget,latitude,longitude,operating hours,contact information
1,Aguinaldo Shrine,Kawit,Cavite,"""The ancestral home of the first Philippine President Emilio Aguinaldo where Philippine Independence was proclaimed on June 12, 1898. Features historical exhibits and memorabilia from the revolution period.""",Historical Site,"""Educational, Historical, Budget""",4.5,100,14.44527081,120.9068554,9:00 AM - 4:00 PM Daily Except Mondays,046 484 7643
2,Tagaytay Ridge,Tagaytay,Cavite,"""A mountain ridge offering breathtaking panoramic views of Taal Volcano, and Taal Lake.""",Natural Attraction,"""Scenic, Photography, Budget""",4.8,0,14.09731054,120.922487,Open 24 hours,NaN
3,Sky Ranch Tagaytay,Tagaytay,Cavite,"""An amusement park featuring various rides, and attractions with a spectacular view of Taal Volcano. Home to one of the tallest Ferris wheels in the Philippines.""",Leisure,"""Family-oriented, Fun, Thrill""",4.3,900,14.09543379,120.9377015,10:00 AM - 10:00 PM Mon-Fri; 8:00 AM - 10:00 PM Sat-Sun,https://www.facebook.com/skyranchtagaytayofficial/
4,Puzzle Mansion,Tagaytay,Cavite,"""Home to the Guinness World Record holder for the largest collection of jigsaw puzzles. A unique attraction showcasing thousands of completed puzzle artworks in various sizes.""",Museum,"""Unique, Indoor, Family-oriented""",4.2,150,14.09756079,120.9030907,8:00 AM - 5:00 PM Daily,(02) 8861 0019
5,Balite Falls,Amadeo,Cavite,"""A natural cascade with cool refreshing waters where visitors can swim, and picnic surrounded by lush vegetation. Features stone pools, and relaxation areas.""",Natural Attraction,"""Adventure, Nature, Budget""",4.1,100,14.2112162,120.9227518,7:00 AM - 5:00 PM Daily,NaN
6,Sonya's Garden,Tagaytay,Cavite,"""A charming garden restaurant and bed & breakfast, serving organic farm-to-table meals in a romantic, rustic setting with beautiful flower gardens, and greenhouses.""",Restaurant,"""Romantic, Upscale, Nature""",4.6,7000,14.08718294,120.8497877,7:00 AM - 9:00 PM Daily,www.sonyasgarden.com
7,Balay Indang,Indang,Cavite,"""A garden resort offering a serene escape with beautiful cottages nestled among lush gardens. Features farm-to-table dining experiences and nature-based activities.""",Resort,"""Relaxation, Nature, Upscale""",4.5,3500,14.1632472,120.9003353,8:00 AM - 8:00 PM Daily,https://www.facebook.com/p/Balay-Indang-100067963604780/
8,Nurture Wellness Village,Tagaytay,Cavite,"""A wellness retreat offering holistic spa treatments, organic dining, and eco-friendly accommodations. Specializes in Filipino traditional healing therapies and farm tours.""",Resort,"""Wellness, Luxury, Relaxation""",4.7,4500,14.1251808,120.9419548,8:00 AM - 8:00 PM Daily,www.nurture.com.ph
9,Chateau Hestia,Silang,Cavite,"""A garden restaurant serving European cuisine with a farm-to-table concept, and artisanal cheese production. Features rustic European-inspired architecture and gardens.""",Restaurant,"""Culinary, Unique, Upscale""",4.3,900,14.15132906,120.9726938,10:00 AM - 8:00 PM Wed-Mon,NaN
10,Bag of Beans,Tagaytay,Cavite,"""A popular cafe chain in Tagaytay known for its premium coffee handmade pastries and cozy garden setting. Offers breakfast all day with views of Taal Lake.""",Cafe,"""Scenic, Relaxation, Mid-range""",4.5,500,14.09701441,120.9155384,7:00 AM - 9:00 PM Daily,0917 866 7033
